"filename", "language", "JSON", "SCSS", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Env\Workspace\ARCADIA\Index.html", "HTML", 0, 0, 183, 0, 0, 0, 13, 17, 213
"c:\Env\Workspace\ARCADIA\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 16, 39
"c:\Env\Workspace\ARCADIA\Router\Route.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Env\Workspace\ARCADIA\Router\allRoutes.js", "JavaScript", 0, 0, 0, 62, 0, 0, 9, 4, 75
"c:\Env\Workspace\ARCADIA\Router\router.js", "JavaScript", 0, 0, 0, 52, 0, 0, 20, 21, 93
"c:\Env\Workspace\ARCADIA\js\auth\signin.js", "JavaScript", 0, 0, 0, 19, 0, 0, 1, 5, 25
"c:\Env\Workspace\ARCADIA\js\auth\signup.js", "JavaScript", 0, 0, 0, 76, 0, 0, 3, 9, 88
"c:\Env\Workspace\ARCADIA\js\modal.js", "JavaScript", 0, 0, 0, 22, 0, 0, 2, 4, 28
"c:\Env\Workspace\ARCADIA\js\script.js", "JavaScript", 0, 0, 0, 118, 0, 0, 14, 21, 153
"c:\Env\Workspace\ARCADIA\package-lock.json", "JSON", 59, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Env\Workspace\ARCADIA\package.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Env\Workspace\ARCADIA\pages\404.html", "HTML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Env\Workspace\ARCADIA\pages\animaux.html", "HTML", 0, 0, 169, 0, 0, 0, 2, 4, 175
"c:\Env\Workspace\ARCADIA\pages\engagement.html", "HTML", 0, 0, 58, 0, 0, 0, 0, 2, 60
"c:\Env\Workspace\ARCADIA\pages\habitats.html", "HTML", 0, 0, 98, 0, 0, 0, 0, 3, 101
"c:\Env\Workspace\ARCADIA\pages\home.html", "HTML", 0, 0, 137, 0, 0, 0, 7, 8, 152
"c:\Env\Workspace\ARCADIA\pages\reservations\allResa.html", "HTML", 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Env\Workspace\ARCADIA\pages\reserver.html", "HTML", 0, 0, 46, 0, 0, 0, 0, 2, 48
"c:\Env\Workspace\ARCADIA\pages\services.html", "HTML", 0, 0, 63, 0, 0, 0, 3, 4, 70
"c:\Env\Workspace\ARCADIA\scss\_custom.scss", "SCSS", 0, 8, 0, 0, 0, 0, 4, 6, 18
"c:\Env\Workspace\ARCADIA\scss\main.css", "CSS", 0, 0, 0, 0, 11616, 0, 50, 985, 12651
"c:\Env\Workspace\ARCADIA\scss\main.scss", "SCSS", 0, 569, 0, 0, 0, 0, 27, 107, 703
"Total", "-", 65, 577, 781, 358, 11616, 23, 155, 1224, 14799
